City,Country,Longitude,Latitude,Alternate Names in Archives,Notes
Dunkerque (Nord),France,2.3767763,51.0343684,,
Neufchâtel 62,France,1.642977,50.619072,,
Valenciennes (Nord),France,3.518332,50.357113,,
Arras 62,France,2.777535,50.291002,,
La Quesnay,France,3.636668,50.247321,,
Zell,France,7.1964981,50.0324264,,
Amiens (Somme),France,2.295753,49.894067,,
Ardennes,France,4.6285053,49.7624642,,
Cherbourg (Manche),France,-1.622137,49.6337308,,
Le Mesnil Dot,France,-1.702102,49.625913,,
Glacerie (Manche),France,-1.5722878,49.6090607,,
Villach,France,5.2263,49.593352,,
Rouen (Seine-Maritime),France,1.099971,49.443232,,
Malling (Moselle),France,6.297981,49.424177,,
Orglandes (Manche),France,-1.449344,49.423241,,
Hunting (Moselle),France,6.328275,49.41376,,
Le Mesnil-Esnard (Seine-Maritime),France,1.1464319,49.412267,,
Saint-Sauveur-le-Vicomte (Manche),France,-1.529958,49.386916,,
Barneville-sur-Seine (Eure),France,0.846987,49.383228,,
Falaise (Ardennes),France,4.728958,49.378136,,
Mercy-le-Haut (Meurthe-et-Moselle),France,5.821711,49.3685479,,
Breistroff la Petite,France,6.317385,49.358399,,
Breistroff La Petite,France,6.317385,49.358399,,
Thionville (Moselle),France,6.168426,49.357571,,
Grand Couronne Seine inferieure,France,1.007075,49.357383,,
Grande Couronne,France,1.007075,49.357383,,
Grainville (Eure),France,1.366241,49.34781,,
Grainville (Eure),France,1.366241,49.34781,Grainville-sur-Odon (Eure),
Beuzeville (Eure),France,0.342432,49.3452259,,
Saint Come du Mont,France,-1.274279,49.335455,,
Saint Côme du Mont,France,-1.274279,49.335455,,
Région de Sainte-Mère-l'Eglise (Manche),France,-1.2656909,49.321641,,
Metzerwisse,France,6.2816,49.314062,,
La Londe (Seine-Maritime),France,0.952461,49.306202,,
Carentan (Manche),France,-1.242834,49.305666,,
Amfreville-sous-les-Monts (Eure),France,1.260169,49.30549,,
Bourgtheroulde-Infreville (Eure),France,0.873662,49.299662,,
Chémery-les-Deux (Moselle),France,6.4458209,49.299148,,
Fronholz,France,6.151114,49.29194,Fronholz près Colmar,http://www.latlong.net/
La Haye du Puits,France,-1.545299,49.290954,,
la Haye-du-Puits (Manche),France,-1.545299,49.290954,,
La Surellerie,France,-1.557608,49.278979,,
Villers-Hélon (Aisne),France,3.261588,49.262943,,
Reims (Marne),France,4.031696,49.258329,,
Angoville sur ay,France,1.5511,49.2532,"Angoville s, ay",Definitely Angoville sur ay
Angoville-sur-Ay (Manche),France,-1.551131,49.253174,,
Saint-Georges-de-Bohon (Manche),France,-1.270252,49.251137,,
Amfreville (Calvados),France,-0.234694,49.248568,,
Lison (Calvados),France,-1.045178,49.248178,,
Noyers (Eure),France,1.679039,49.244239,,
Nonant (Calvados),France,-0.639041,49.2428079,,
Ducy-Sainte-Marguerite (Calvados),France,-0.612178,49.225516,,
Bosrobert (Eure),France,0.75263,49.223317,,
Saint-Fromond (Manche),France,-1.092924,49.219925,,
Raids (Manche),France,-1.344609,49.215428,,
Brouay (Calvados),France,-0.56118,49.211126,,
Dézert (Manche),France,-1.1662539,49.204197,,
Le Dézert (Manche),France,-1.1662539,49.204197,,
Le Hommet-d'Arthenay (Manche),France,-1.188463,49.189776,,
Millières (Manche),France,-1.460956,49.186909,,
Périers (Manche),France,-1.408952,49.1857789,,
Caen (Calvados),France,-0.370679,49.182863,,
Tilly-sur-Seulles (Calvados),France,-0.6260599,49.175517,,
Bretteville-sur-Odon (Calvados),France,-0.415144,49.1682739,,
Bretteville sur Odon,France,-0.415144,49.1682739,,
Amigny (Manche),France,-1.179874,49.155644,,
Emiéville (Calvados),France,-0.22331,49.153379,,
Vaudrimesnil (Manche),France,-1.4150609,49.153138,,
Rauray (Calvados),France,-0.559288,49.151407,,
Rauray,France,-0.559288,49.151407,,
Feugères (Manche),France,-1.321005,49.150723,,
Vendes (Calvados),France,-0.596701,49.147871,,
Lisieux (Calvados),France,0.227849,49.145922,,
Tilly (Eure),France,1.529382,49.144865,,
