City,Country,Longitude,Latitude,Alternate Names found in Archives,notes
Esana,Italie,-66.1579856,-17.3863351,,
Raitano - Catania (Sicile),Italie,15.0834181,37.4984468,,
Catania,Italie,15.0830304,37.5078772,,
Paterno,Italie,14.9017568,37.5671795,Près Paterno (Sicile),
Reitana,Italie,15.1481903,37.5759694,,
Buonriposo,Italie,14.2490418,37.6036548,,
Leonforte,Italie,14.391633,37.6392064,,
Léonforte,Italie,14.391633,37.6392064,,
Regalbuto,Italie,14.6402566,37.6500078,,
Biancavilla,Italie,14.9038451,37.6691639,,
Troina,Italie,14.6000721,37.7847915,,
Cesaro,Italie,14.7132493,37.8438175,,
près Strada,Italie,13.7176985,37.9063399,,
Lorenzo,Italie,15.831647,38.010491,,
San Luca,Italie,16.0633,38.1471,Borgo San Lucal,"borgo is bourg, NOT SURE ABOUT THIS BEING SAN LUCA"
Spadafora,Italie,15.3793585,38.2227337,,
Bagnara Calabra,Italie,15.8034,38.2838,Bagnera,noting it as bagnara calabra
Marcina,Italie,16.3062801,38.301194,,
Seminara,Italie,15.8708612,38.3351553,,
Casa di Nora,Italie,9.0063743,38.986636,,
Belmonte,Italie,16.0834555,39.1620571,,
La Foso,Italie,17.3458936,40.3770946,,
Atena,Italie,15.5522181,40.4544587,,could be Artena
Bagno Cavalo,Italie,15.1032183,40.4880891,,
Salerno,Italie,14.8104424,40.6719402,,
Belia,Italie,15.5377751,40.7589695,,
Calabritto,Italie,15.1843801,40.7810604,,
Pozzuoli,Italie,14.0932861,40.8459469,,
Mercatole,Italie,14.2759346,40.8459502,,
Stazione di Campolio,Italie,14.7074161,41.0607422,,
Caserta,Italie,14.3311337,41.0723484,,
Bari,Italie,16.8719083,41.1171488,,
Gaëta,Italie,13.5714285,41.2107299,,
Teano,Italie,14.0682377,41.2492784,,
Riardo,Italie,14.1511822,41.2632923,,
Minturno,Italie,13.7443642,41.2657426,,
Tarracina,Italie,13.2332657,41.2963728,,
Terracina,Italie,13.2332657,41.2963728,,
Castelforte,Italie,13.8225318,41.2987721,,
Monte San Biaggio Fondi,Italie,13.3537924,41.3476648,,
Esperia,Italie,13.6836347,41.3837002,,
Rocca d'Evandro,Italie,13.9073072,41.3889205,,
Pratella,Italie,14.1784841,41.404798,,
Panaccioni,Italie,13.8179967,41.4305326,,
Pico,Italie,13.5552603,41.4417086,,
